motor_id,rul_days,current_di,trend_slope,risk_level,last_timestamp
1,>90,0.0238,,FAIBLE,2025-05-24 16:45:00
2,>90,0.2655,,FAIBLE,2025-05-24 16:45:00
3,>90,0.18,,FAIBLE,2025-05-24 16:45:00
4,>90,0.4824,,MODÉRÉ,2025-05-24 16:45:00
5,>90,0.4131,,MODÉRÉ,2025-05-24 16:45:00
6,>90,0.1979,,FAIBLE,2025-05-24 16:45:00
7,>90,0.19,,FAIBLE,2025-05-24 16:45:00
8,>90,0.0528,,FAIBLE,2025-05-24 16:45:00
9,>90,0.0687,,FAIBLE,2025-05-24 16:45:00
10,>90,0.0659,,FAIBLE,2025-05-24 16:45:00
11,>90,0.2202,,FAIBLE,2025-05-24 16:45:00
12,>90,0.1141,,FAIBLE,2025-05-24 16:45:00
13,>90,0.2681,,FAIBLE,2025-05-24 16:45:00
14,>90,0.0398,,FAIBLE,2025-05-24 16:45:00
15,>90,0.2839,,FAIBLE,2025-05-24 16:45:00
16,>90,0.1012,,FAIBLE,2025-05-24 16:45:00
17,>90,0.0206,,FAIBLE,2025-05-24 16:45:00
18,>90,0.4549,,MODÉRÉ,2025-05-24 16:45:00
19,>90,0.1387,,FAIBLE,2025-05-24 16:45:00
20,>90,0.1921,,FAIBLE,2025-05-24 16:45:00
21,>90,0.5808,,ÉLEVÉ,2025-05-26 15:32:28
