motor_id,explanation,temperature_exceed,courant_exceed,vibration_exceed,acceleration_exceed,temperature_ratio,courant_ratio,vibration_ratio,acceleration_ratio,n_exceed,severity_score,vib_energy_mean,vib_kurt,crest_factor,temp_mean,temp_trend,courant_mean,envelope_mean,health_score,temp_ratio_flotte,vib_ratio_flotte,courant_ratio_flotte,temp_zscore_flotte,vib_zscore_flotte,vib_rms,vib_skewness,peak2peak,spectral_entropy,shape_factor,impulse_factor
2,temperature_exceed +95809322.1σ | severity_score +2.8σ | courant_exceed +1.9σ,95809322.123,1.915,0.318,0.76,0.779,0.395,0.129,1.025,1.833,2.832,0.195,0.062,0.164,0.169,0.477,-0.652,0.174,-0.3,0.721,0.405,-0.564,0.72,0.383,0.187,0.144,0.124,-0.03,-0.011,0.147
5,temperature_exceed +75406516.5σ | courant_exceed +2.9σ | severity_score +2.2σ,75406516.543,2.894,0.15,-0.616,0.617,0.594,-0.052,-0.603,0.757,2.213,-0.223,-0.183,-0.014,0.118,0.294,-1.235,-0.194,0.088,0.596,0.15,-1.123,0.591,0.149,-0.194,-0.06,-0.052,0.021,0.082,-0.001
6,temperature_exceed +83128676.5σ | courant_exceed +2.6σ | severity_score +2.5σ,83128676.548,2.571,0.219,-0.016,0.607,0.506,0.027,-0.245,1.245,2.516,0.128,0.038,0.073,0.252,0.341,-1.049,0.129,-0.311,0.62,0.266,-0.943,0.593,0.24,0.12,-0.077,0.179,-0.02,0.156,0.09
7,temperature_exceed +98023239.6σ | severity_score +2.8σ | n_exceed +1.8σ,98023239.614,1.748,0.388,0.688,0.835,0.42,0.073,0.889,1.772,2.786,0.089,0.041,0.083,0.277,0.504,-0.501,0.08,-0.201,0.824,0.343,-0.417,0.802,0.322,0.085,0.054,0.058,-0.04,0.01,0.074
12,temperature_exceed +75916979.6σ | severity_score +3.0σ | courant_exceed +2.9σ,75916979.55,2.913,0.2,0.796,0.58,0.647,0.023,1.421,1.955,3.003,0.053,0.1,0.253,0.109,0.339,-1.193,0.068,-0.198,0.542,0.249,-1.075,0.541,0.241,0.058,0.012,0.38,0.027,0.356,0.283
14,temperature_exceed +59499745.4σ | severity_score +2.9σ | courant_exceed +2.3σ,59499745.399,2.305,1.221,0.398,0.556,0.388,0.774,0.232,1.775,2.919,0.232,-0.017,-0.011,0.167,0.189,-1.239,0.209,-0.283,0.544,0.378,-1.143,0.524,0.368,0.207,0.044,-0.011,0.057,0.018,-0.006
15,temperature_exceed +43294956.6σ | severity_score +3.2σ | vibration_exceed +3.0σ,43294956.57,0.657,2.994,0.702,0.323,0.116,2.372,0.853,2.21,3.171,0.088,-0.084,-0.126,-0.047,0.145,-0.535,0.075,0.015,0.302,0.258,-0.493,0.293,0.246,0.084,-0.063,-0.067,-0.085,-0.033,-0.12
17,temperature_exceed +72911130.9σ | courant_exceed +2.8σ | severity_score +2.5σ,72911130.883,2.842,0.248,-0.068,0.574,0.602,0.022,-0.256,1.222,2.504,0.157,0.027,0.015,0.108,0.267,-1.2,0.14,-0.18,0.532,0.251,-1.09,0.537,0.231,0.129,0.006,0.044,0.117,-0.002,0.013
18,temperature_exceed +59513336.6σ | severity_score +2.9σ | courant_exceed +2.3σ,59513336.627,2.273,1.951,-0.511,0.527,0.364,1.375,-0.549,1.305,2.888,0.16,-0.042,0.027,0.247,0.196,-1.185,0.141,-0.286,0.512,0.371,-1.094,0.502,0.35,0.15,0.115,0.007,-0.009,-0.039,0.018
20,temperature_exceed +46651848.9σ | courant_ratio +5.6σ | courant_exceed +5.2σ,46651848.918,5.245,0.054,0.682,0.391,5.591,-0.032,0.918,2.231,3.61,0.14,-0.076,0.037,0.098,0.153,-1.545,0.122,-0.174,0.367,0.188,-1.454,0.371,0.19,0.131,0.046,0.059,-0.035,0.032,0.04
