feature,importance,rank,importance_pct
n_exceed,0.001664,1,10.45
acceleration_ratio,0.000953,2,5.98
severity_score,0.000927,3,5.82
acceleration_exceed,0.000844,4,5.3
vibration_ratio,0.000746,5,4.68
temperature_ratio,0.000729,6,4.58
courant_mean,0.000729,7,4.58
courant_ratio_flotte,0.000705,8,4.43
vib_zscore_flotte,0.000644,9,4.04
shape_factor,0.000641,10,4.02
vib_energy_mean,0.000635,11,3.99
vib_ratio_flotte,0.000612,12,3.84
impulse_factor,0.00061,13,3.83
temp_ratio_flotte,0.000608,14,3.82
peak2peak,0.000595,15,3.74
health_score,0.000591,16,3.71
temp_zscore_flotte,0.000589,17,3.7
vibration_exceed,0.000566,18,3.55
crest_factor,0.000556,19,3.49
envelope_mean,0.000484,20,3.04
courant_ratio,0.000374,21,2.35
vib_rms,0.000348,22,2.18
vib_skewness,0.00023,23,1.44
vib_kurt,0.00017,24,1.07
temp_trend,0.000159,25,1.0
temp_mean,0.000133,26,0.83
courant_exceed,6e-05,27,0.38
spectral_entropy,2.8e-05,28,0.18
temperature_exceed,0.0,29,0.0
