motor_id,rul_days,rul_ensemble,rul_low,rul_high,rul_poly,rul_exp,rul_weibull,weibull_beta,current_di,trend_slope,risk_level,confidence,n_points,poly_coef,last_timestamp
1,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1097,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
2,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2617,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
3,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.3113,,MODÉRÉ,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
4,45.2,45.2,7.7,82.6,0.0,90.0,60.5,1.0,0.4521,,MODÉRÉ,0.594,1640,"[nan, nan, nan]",2025-05-24 16:45:00
5,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.3222,,MODÉRÉ,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
6,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2065,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
7,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.368,,MODÉRÉ,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
8,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0245,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
9,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1595,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
10,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1125,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
11,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2602,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
12,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2733,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
13,51.3,51.3,10.8,90.0,0.0,90.0,81.1,1.0,0.3963,,MODÉRÉ,0.613,1640,"[nan, nan, nan]",2025-05-24 16:45:00
14,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1436,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
15,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2521,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
16,41.1,41.1,4.3,77.8,0.0,46.9,90.0,1.0,0.1111,,FAIBLE,0.563,1640,"[nan, nan, nan]",2025-05-24 16:45:00
17,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.0063,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
18,34.6,34.6,0.0,72.5,0.0,90.0,25.4,1.0,0.5918,,ÉLEVÉ,0.468,1640,"[nan, nan, nan]",2025-05-24 16:45:00
19,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.2037,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
20,54.0,54.0,11.6,90.0,0.0,90.0,90.0,1.0,0.1674,,FAIBLE,0.614,1640,"[nan, nan, nan]",2025-05-24 16:45:00
21,4.2,4.2,0.8,7.7,0.0,8.3,5.8,1.0,0.5701,,CRITIQUE,0.668,10,"[nan, nan, nan]",2025-05-26 15:32:28
